pair_id,split,architecture,target_x,target_y,hard_case,seed
DRAM_00001,train,DRAM,759,231,False,1766277412
DRAM_00002,train,DRAM,280,401,False,1131248013
DRAM_00003,train,DRAM,667,437,False,1795876969
DRAM_00004,train,DRAM,546,321,False,1407872471
DRAM_00005,train,DRAM,475,439,False,191659118
DRAM_00006,train,DRAM,803,428,False,813179498
DRAM_00007,train,DRAM,372,698,False,1336097428
DRAM_00008,train,DRAM,617,663,False,1663630743
DRAM_00009,train,DRAM,173,544,False,1423566258
DRAM_00010,train,DRAM,692,239,False,32525803
DRAM_00011,train,DRAM,171,547,False,1671098569
DRAM_00012,train,DRAM,329,502,False,2107474366
DRAM_00013,train,DRAM,265,237,False,2006373360
DRAM_00014,train,DRAM,611,649,False,343608581
DRAM_00015,train,DRAM,329,350,False,363339768
DRAM_00016,train,DRAM,539,258,False,771423582
DRAM_00017,train,DRAM,605,393,False,618448135
DRAM_00018,train,DRAM,494,521,False,342602297
DRAM_00019,train,DRAM,259,191,False,1741926211
DRAM_00020,train,DRAM,415,595,False,1760796398
DRAM_00021,train,DRAM,459,635,False,1418662960
DRAM_00022,train,DRAM,182,772,False,1554619311
DRAM_00023,train,DRAM,692,823,False,1532367906
DRAM_00024,train,DRAM,376,440,False,752238573
DRAM_00025,train,DRAM,718,536,False,1067066655
DRAM_00026,train,DRAM,223,618,False,1135035913
DRAM_00027,train,DRAM,200,846,False,1547579738
DRAM_00028,train,DRAM,375,281,False,1114563532
DRAM_00029,train,DRAM,494,580,False,659370141
DRAM_00030,train,DRAM,208,804,False,171482089
DRAM_00031,train,DRAM,750,154,False,643842196
DRAM_00032,train,DRAM,603,724,False,62518257
DRAM_00033,train,DRAM,494,400,False,688827418
DRAM_00034,train,DRAM,526,562,False,1579302772
DRAM_00035,train,DRAM,688,453,False,1675558167
DRAM_00036,train,DRAM,310,417,False,1476538284
DRAM_00037,train,DRAM,408,517,False,1379065636
DRAM_00038,train,DRAM,386,185,False,2067756353
DRAM_00039,train,DRAM,586,792,False,1964259487
DRAM_00040,train,DRAM,172,535,False,1146299401
DRAM_00041,train,DRAM,566,552,False,1449833207
DRAM_00042,train,DRAM,760,414,False,1692843132
DRAM_00043,train,DRAM,388,833,False,1926411599
DRAM_00044,train,DRAM,293,276,False,1314849356
DRAM_00045,train,DRAM,719,644,False,941920171
DRAM_00046,train,DRAM,553,517,False,683267303
DRAM_00047,train,DRAM,697,805,False,987603936
DRAM_00048,train,DRAM,354,508,False,227343684
DRAM_00049,train,DRAM,416,172,False,384893432
DRAM_00050,train,DRAM,664,648,False,1661760917
FinFET_00051,train,FinFET,675,346,False,1633136367
FinFET_00052,train,FinFET,788,682,False,1118836725
FinFET_00053,train,FinFET,224,653,False,1462867726
FinFET_00054,train,FinFET,846,379,False,354345678
FinFET_00055,train,FinFET,282,160,False,283008372
FinFET_00056,train,FinFET,279,726,False,138761658
FinFET_00057,train,FinFET,544,761,False,34979935
FinFET_00058,train,FinFET,669,453,False,1258389953
FinFET_00059,train,FinFET,599,643,False,776448884
FinFET_00060,train,FinFET,719,828,False,603013163
FinFET_00061,train,FinFET,193,583,False,1884487528
FinFET_00062,train,FinFET,251,448,False,525593630
FinFET_00063,train,FinFET,308,456,False,1384263517
FinFET_00064,train,FinFET,410,224,False,345641859
FinFET_00065,train,FinFET,660,678,False,1033930724
FinFET_00066,train,FinFET,303,607,False,805581174
FinFET_00067,train,FinFET,450,768,False,1111230446
FinFET_00068,train,FinFET,262,553,False,30670536
FinFET_00069,train,FinFET,415,672,False,1849697052
FinFET_00070,train,FinFET,364,375,False,1263358285
FinFET_00071,validation,FinFET,783,741,False,5762414
FinFET_00072,validation,FinFET,810,363,False,1634059452
FinFET_00073,validation,FinFET,574,769,False,331338329
FinFET_00074,validation,FinFET,771,175,False,773043601
FinFET_00075,validation,FinFET,713,764,False,1359815981
FinFET_00076,validation,FinFET,763,538,False,68808363
FinFET_00077,validation,FinFET,372,297,False,354944909
FinFET_00078,validation,FinFET,697,164,False,754100925
FinFET_00079,validation,FinFET,255,774,False,2114012412
FinFET_00080,validation,FinFET,618,436,False,1212166294
FinFET_00081,validation,FinFET,642,737,False,1003196515
FinFET_00082,validation,FinFET,757,511,False,2144640524
FinFET_00083,validation,FinFET,556,818,False,1341776208
FinFET_00084,validation,FinFET,388,828,False,1331615045
FinFET_00085,validation,FinFET,458,774,False,1342673857
FinFET_00086,hard_test,FinFET,648,214,True,1847406614
FinFET_00087,hard_test,FinFET,760,539,True,2061216739
FinFET_00088,hard_test,FinFET,810,204,True,77110781
FinFET_00089,hard_test,FinFET,373,162,True,2134174978
FinFET_00090,hard_test,FinFET,392,709,True,1653687650
FinFET_00091,hard_test,FinFET,327,590,True,1167465868
FinFET_00092,hard_test,FinFET,431,842,True,552757272
FinFET_00093,hard_test,FinFET,690,232,True,929389139
FinFET_00094,hard_test,FinFET,715,693,True,13915854
FinFET_00095,hard_test,FinFET,172,765,True,1027911761
FinFET_00096,hard_test,FinFET,843,762,True,801117898
FinFET_00097,hard_test,FinFET,721,310,True,1858969493
FinFET_00098,hard_test,FinFET,601,435,True,764244029
FinFET_00099,hard_test,FinFET,810,686,True,520047725
FinFET_00100,hard_test,FinFET,253,371,True,383651933
